x,y,v,kappa,s
-27.693,65.537,3.991,-0.5542,91.6764
-27.853,65.657,4.07,-0.3965,91.8758
-28.003,65.789,3.869,0.4508,92.0757
-28.164,65.907,3.656,-0.6604,92.2757
-28.308,66.045,3.971,-0.1111,92.4755
-28.449,66.187,4.262,-0.0155,92.6755
-28.59,66.329,4.408,0.0093,92.8755
-28.731,66.471,4.222,-0.0115,93.0755
-28.872,66.613,4.028,-0.5441,93.2755
-28.996,66.769,4.315,-0.3467,93.4749
-29.11,66.933,4.585,-0.1028,93.6748
-29.22,67.1,4.533,-0.1278,93.8748
-29.326,67.27,4.353,0.1833,94.0748
-29.438,67.436,4.165,-0.0293,94.2748
-29.549,67.602,3.968,-0.2855,94.4748
-29.65,67.774,3.761,-0.4399,94.6745
-29.735,67.955,3.543,-0.3578,94.8743
-29.808,68.141,3.309,0.8061,95.0741
-29.909,68.313,3.207,-0.8585,95.2741
-29.98,68.5,3.56,0.376,95.4735
-30.064,68.68,3.882,-0.092,95.6728
-30.145,68.862,3.754,-0.6265,95.8718
-30.203,69.054,4.061,-0.0784,96.0718
-30.258,69.246,4.346,0.0763,96.2718
-30.316,69.438,4.493,-0.2519,96.4718
-30.364,69.632,4.312,0.1384,96.6718
-30.417,69.824,4.122,-0.0154,96.8716
-30.47,70.017,3.924,-0.49,97.0712
-30.504,70.214,3.714,-0.5385,97.2711
-30.516,70.413,3.492,0.3223,97.4711
-30.542,70.612,3.255,-0.0006,97.671
-30.567,70.81,3.0,-0.2406,97.871
-30.583,71.009,2.72,-0.4202,98.0707
-30.582,71.209,2.408,1.522,98.2707
-30.639,71.4,2.712,-1.2007,98.4706
-30.651,71.598,3.12,-0.3405,98.6688
-30.649,71.798,3.483,-0.1083,98.8688
-30.642,71.998,3.334,-0.7942,99.0684
-30.604,72.194,3.512,0.5752,99.2684
-30.589,72.393,3.276,0.2959,99.4683
-30.586,72.593,3.022,-0.3576,99.6681
-30.569,72.79,2.748,-0.9311,99.866
-30.516,72.982,2.441,1.4814,100.0651
-30.52,73.182,2.624,-1.282,100.2651
-30.474,73.375,3.044,0.0483,100.4633
-30.43,73.57,3.155,0.2777,100.6628
